Text,Labels,Mapped_Text
ഉ ണ ർ ത ് ത േ ണ ് ട ത ാ ണ ്,NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP,ഉണർത്തേണ്ടത+ാണ്
ര ീ ത ി യ െ ന ് ന യ ി വ യ െ ക ് ക ു റ ി ച ് ച െ ല ് ല ാ ം,NSP NSP NSP NSP SP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP,രീതിയ+െന്നയ+ിവയെക്ക+ുറിച്ച+െല്ലാം
സ ു ല ഭ മ ാ യ യ ൌ ഷ ധ ങ ് ങ ള ി ല ൂ ട െ യ ു ം,NSP NSP NSP NSP SP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP,സുലഭമ+ായയ+ൌഷധങ്ങളിലൂടെയും
ര ം ഗ ത ് ത ു ണ ് ട െ ന ് ന ത ു ം,NSP NSP NSP NSP NSP SP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP,രംഗത്ത+ുണ്ട+െന്നതും
ഹ ൃ ദ ് യ മ ാ യ ി യ ു പ ച ര ി ച ് ച ്,NSP NSP NSP NSP NSP SP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP,ഹൃദ്യമ+ായിയ+ുപചരിച്ച്
അ ത ി ന െ യ ത ി ജ ീ വ ി ച ് ച ്,NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP,അതിനെയ+തിജീവിച്ച്
ന ീ ട ് ട ി യ െ ട ു ക ് ക ാ ന ു മ ാ ണ ്,NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP,നീട്ടിയെടുക്കാനുമ+ാണ്
ത ക ർ ന ് ന ു വ ീ ണ ു വ െ ന ് ന ു,NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP,തകർന്നുവീണുവ+െന്നു
ന ാ ട ക ത ് ത ി ല ു ന ് ന യ ി ക ് ക ു ന ് ന,NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP,നാടകത്തില+ുന്നയിക്കുന്ന
വ യ സ ് സ ാ യ ി,NSP NSP NSP NSP SP NSP NSP NSP,വയസ്സ+ായി
ന മ ു ക ് ക ത ് ര,NSP NSP NSP NSP NSP SP NSP NSP NSP,നമുക്ക+ത്ര
പ റ ് റ ു ന ് ന യ ൊ ര ു,NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP,പറ്റുന്നയ+ൊരു
മ ോ ശ ക ് ക ാ ര ാ ണ െ ന ് ന ു മ ു ള ് ള,NSP NSP NSP NSP NSP NSP NSP SP NSP SP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP,മോശക്കാര+ാണ+െന്നുമ+ുള്ള
ശ ് ര ീ ന ഗ ര ി ത ാ,NSP NSP NSP NSP NSP NSP SP NSP NSP NSP,ശ്രീനഗര+ിതാ
ക ാ ണ ാ ന ി ട യ ു ണ ് ട ാ ക ു മ െ ന ് ന ്,NSP NSP NSP NSP SP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP,കാണാന+ിടയ+ുണ്ടാകുമ+െന്ന്
അ ങ ് ങ ോ ട ് ട ൊ ര ു,NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP,അങ്ങോട്ട+ൊരു
ച െ യ ് ത ു ത ീ ർ ക ് ക ാ ന ു ണ ് ട ്,NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP,ചെയ്തുതീർക്കാന+ുണ്ട്
അ ങ ് ങ ന െ യ ാ വ ട ് ട െ,NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP,അങ്ങനെയ+ാവട്ടെ
1 9 8 4 ല ത േ,NSP NSP NSP NSP SP NSP NSP,1984ല+തേ
വ ി ക സ ന ത ് ത ി ന ് റ െ യ ാ ണ ി ക ് ക ല ് ല ്,NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP,വികസനത്തിന്റെയ+ാണിക്കല്ല്
എ ന ് ന െ ത ് ത ന ് ന െ,NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP,എന്നെത്ത+ന്നെ
ത െ ര ു വ ് ന ാ യ ് ക ് ക ള െ പ ് പ ി ട ി ച ് ച ്,NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP,തെരുവ്നായ്ക്കളെപ്പ+ിടിച്ച്
ക ി ട ാ ര ി ക ള െ യ ാ ണ ്,NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP,കിടാരികളെയ+ാണ്
ഞ ാ ന ത ി ന ് റ െ,NSP NSP SP NSP NSP NSP NSP NSP NSP,ഞാന+തിന്റെ
പ ര ി ണ മ ി ക ് ക ാ ത ി ര ി ക ് ക ണ മ െ ങ ് ക ി ൽ,NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP,പരിണമിക്കാതിരിക്കണമ+െങ്കിൽ
പ ങ ് ക െ ട ു ത ് ത യ ം ഗ ങ ് ങ ൾ ക ് ക െ ല ് ല ാ ം,NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP,പങ്കെടുത്തയ+ംഗങ്ങൾക്ക+െല്ലാം
ക ൊ ണ ് ട ീ,NSP NSP NSP NSP SP NSP,കൊണ്ട+ീ
വ ന ് ന െ ത ് ത ു ന ് ന ത ത ് ര,NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP,വന്നെത്തുന്നത+ത്ര
ഓ പ ് പ റ േ റ ് റ ർ ‍ മ ാ ര ു ട െ പ ് പ ് ര വ ർ ‍ ത ് ത ന ം,NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP,ഓപ്പറേറ്റർ‍മാരുടെപ്പ+്രവർ‍ത്തനം
സ ഹ ാ യ ക മ ാ ണ െ ങ ് ക ി ൽ,NSP NSP NSP NSP NSP SP NSP SP NSP NSP NSP NSP NSP NSP,സഹായകമ+ാണ+െങ്കിൽ
മ ു ണ ് ട ൂ ര ി ന ് റ െ ക ് ക ഥ ക ള ു ം,NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP,മുണ്ടൂരിന്റെക്ക+ഥകളും
സ ാ ഷ ി ക ് ക ു ക യ ു ള ് ള ൂ വ െ ന ് ന ്,NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP,സാഷിക്കുകയ+ുള്ളൂവ+െന്ന്
സ ൗ ക ര ് യ ങ ് ങ ള ാ സ ് വ ദ ി ക ് ക ാ ന ു മ ാ ണ യ ാ ൾ ക ് ക ാ ഗ ് ര ഹ ം,NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP SP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP,സൗകര്യങ്ങള+ാസ്വദിക്കാനുമ+ാണ+യാൾക്ക+ാഗ്രഹം
പ േ ര െ ങ ് ക ി ല ു ം,NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP,പേര+െങ്കിലും
ല ോ ഡ ് ജ ു ണ ് ട ോ വ െ ന ് ന ു,NSP NSP NSP NSP SP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP,ലോഡ്ജ+ുണ്ടോവ+െന്നു
വ ി ധ ി യ െ ഴ ു ത ു ക യ ി ല ് ല േ,NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP,വിധിയ+െഴുതുകയ+ില്ലേ
വ ീ ട ് ട ു ക ാ ര ൊ ര ് ങ ് ങ ി യ ി ര ു ന ് ന ു,NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP,വീട്ടുകാര+ൊര്ങ്ങിയിരുന്നു
ര ഹ സ ് യ വ ു മ ച ് യ ു ത ൻ,NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP,രഹസ്യവുമ+ച്യുതൻ
പ ് ര േ ര ണ യ ാ യ ി,NSP NSP NSP NSP NSP NSP SP NSP NSP NSP,പ്രേരണയ+ായി
വ ർ ഷ ത ് ത ി ന ക മ െ ല ് ല ാ,NSP NSP NSP NSP NSP NSP NSP SP NSP SP NSP NSP NSP NSP NSP,വർഷത്തിന+കമ+െല്ലാ
പ ൈ ത ൃ ക മ ാ യ,NSP NSP NSP NSP NSP SP NSP NSP,പൈതൃകമ+ായ
