Text,Labels,Mapped_Text
वृद्धिरादैच्,वृद्धिः+आदैच्,वृद्धिरादैच् NSP
इको गुणवृद्धी,इकः+गुणवृद्धी,इको NSP गुणवृद्धी NSP
न धातुलोप आर्धधातुके,न+धातुलोपे+आर्धधातुके,न NSP धातुलोप NSP आर्धधातुके NSP
ग्क्ङिति च,क्क्ङिति+च,ग्क्ङिति NSP च NSP
हलोऽनन्तराः संयोगः,हलः+अनन्तराः+संयोगः,हलोऽनन्तराः NSP संयोगः NSP
मुखनासिकावचनोऽनुनासिकः,मुखनासिकावचनः+अनुनासिकः,मुखनासिकावचनोऽनुनासिकः NSP
नाज्झलौ,न्+अज्झलौ,नाज्झलौ NSP
अदसो मात्,अदसः+मात्,अदसो NSP मात् NSP
निपात एकाजनाङ्,निपातः+एकाच्+अनाङ्,निपात NSP एकाजनाङ् NSP
सम्बुद्धौ शाकल्यस्येतावनार्षे,सम्बुद्धौ+शाकल्यस्य+इतौ+अनार्षे,सम्बुद्धौ NSP शाकल्यस्येतावनार्षे NSP
दाधा घ्वदाप्,दाधा+घु+अदाप्,दाधा NSP घ्वदाप् NSP
आद्यन्तवदेकस्मिन्,आद्यन्तवत्+एकस्मिन्,आद्यन्तवदेकस्मिन् NSP
प्रथमचरमतयाल्पार्धकतिपयनेमाश्च,प्रथमचरमतयाल्पार्धकतिपयनेमाः+च,प्रथमचरमतयाल्पार्धकतिपयनेमाश्च NSP
पूर्वपरावरदक्षिणोत्तरापराधराणि,पूर्वपरावरदक्षिणोत्तरापराधराणि+व्यवस्थायाम्+असंज्ञायाम्,पूर्वपरावरदक्षिणोत्तरापराधराणि NSP
स्वमज्ञातिधनाख्यायाम्,स्वम्+अज्ञातिधनाख्यायाम्,स्वमज्ञातिधनाख्यायाम् NSP
स्वरादिनिपातमव्ययम्,स्वरादिनिपातम्+अव्ययम्,स्वरादिनिपातमव्ययम् NSP
तद्धितश्चासर्वविभक्तिः,तद्धितः+च+च+असर्वविभक्तिः,तद्धितश्चासर्वविभक्तिः NSP
कृन्मेजन्तः,कृत्+मेजन्तः,कृन्मेजन्तः NSP
अव्ययीभावश्च,अव्ययीभावः+च,अव्ययीभावश्च NSP
सुडनपुंसकस्य,सुट्+अनपुंसकस्य,सुडनपुंसकस्य NSP
न वेति विभाषा,न+वा+इति+विभाषा,न NSP वेति NSP विभाषा NSP
इग्यणः सम्प्रसारणम्,इक्+यणः+सम्प्रसारणम्,इग्यणः NSP सम्प्रसारणम् NSP
मिदचोऽन्त्यात्परः,मित्+अचः+अन्त्यात्+परः,मिदचोऽन्त्यात्परः NSP
एच इग्घ्रस्वादेशे,एचः+इक्+ह्रस्वादेशे,एच NSP इग्घ्रस्वादेशे NSP
स्थानेऽन्तरतमः,स्थाने+अन्तरतमः,स्थानेऽन्तरतमः NSP
उरण् रपरः,उः+अण्+रपरः,उरण् NSP रपरः NSP
अलोऽन्त्यस्य,अलः+अन्त्यस्य,अलोऽन्त्यस्य NSP
ङिच्च,ङित्+च,ङिच्च NSP
स्थानिवदादेशोऽनल्विधौ,स्थानिवत्+आदेशः+अनल्विधौ,स्थानिवदादेशोऽनल्विधौ NSP
