Text,Marked,Labels
वृद्धिरादैच्,वृद्धिः+आदैच्, NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP
इको गुणवृद्धी,इकः+गुणवृद्धी, NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP
न धातुलोप आर्धधातुके,न+धातुलोपे+आर्धधातुके, NSP SP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP
ग्क्ङिति च,क्क्ङिति+च, NSP NSP NSP NSP NSP NSP NSP NSP SP NSP
हलोऽनन्तराः संयोगः,हलः+अनन्तराः+संयोगः, NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP
मुखनासिकावचनोऽनुनासिकः,मुखनासिकावचनः+अनुनासिकः, NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP
नाज्झलौ,न्+अज्झलौ, NSP NSP SP NSP NSP NSP NSP NSP NSP
अदसो मात्,अदसः+मात्, NSP NSP NSP NSP SP NSP NSP NSP NSP
निपात एकाजनाङ्,निपातः+एकाच्+अनाङ्, NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP
सम्बुद्धौ शाकल्यस्येतावनार्षे,सम्बुद्धौ+शाकल्यस्य+इतौ+अनार्षे, NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP
दाधा घ्वदाप्,दाधा+घु+अदाप्, NSP NSP NSP NSP SP NSP NSP SP NSP NSP NSP NSP NSP
आद्यन्तवदेकस्मिन्,आद्यन्तवत्+एकस्मिन्, NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP NSP NSP NSP NSP NSP NSP NSP
प्रथमचरमतयाल्पार्धकतिपयनेमाश्च,प्रथमचरमतयाल्पार्धकतिपयनेमाः+च, NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP NSP SP NSP
